# Real OSRS quest dialogue options, scraped from the Old School RuneScape Wiki transcripts.
#
# Source:  https://oldschool.runescape.wiki/  (Category:Quest transcript, namespace 120)
# Licence: CC BY-NC-SA 3.0 - attribution, non-commercial, share-alike.
#          RuneScape and Old School RuneScape are trademarks of Jagex Limited.
#
# Regenerate with the scripts described in docs/quest-dialogue-corpus.md
#
# Records (tab separated):
#   Q<TAB>quest<TAB>option          option that IS part of the quest
#   N<TAB>quest<TAB>option          option the wiki marks as NOT quest related - never auto-pick
#   M<TAB>quest<TAB>key<TAB>answer  a menu with exactly one quest option; key is the normalised,
#                                   sorted option set joined by '|'
#
# '/Historical' transcript pages are deliberately excluded - they describe superseded dialogue.
Q	A Kingdom Divided	Actually, I don't know.
Q	A Kingdom Divided	Actually, never mind.
Q	A Kingdom Divided	Alright. I'll be back soon.
Q	A Kingdom Divided	Alright. I'll see you soon.
N	A Kingdom Divided	Can you take me somewhere?
Q	A Kingdom Divided	Did you know there's a demon upstairs?
Q	A Kingdom Divided	Evil only triumphs when the good do nothing.
N	A Kingdom Divided	Goodbye.
Q	A Kingdom Divided	Had any councillors shop here recently?
Q	A Kingdom Divided	Had any councillors stay here recently?
N	A Kingdom Divided	Have you been drinking?
N	A Kingdom Divided	Have you heard any rumours here?
Q	A Kingdom Divided	How are things back at the castle?
Q	A Kingdom Divided	How are you doing?
N	A Kingdom Divided	How do I get out of here?
Q	A Kingdom Divided	I'd better be off.
Q	A Kingdom Divided	I'd better get going.
N	A Kingdom Divided	I don't want to talk about my pleasure.
Q	A Kingdom Divided	I have a question about Rose.
Q	A Kingdom Divided	I have a question about that door over there.
Q	A Kingdom Divided	I hear your father has an office here.
Q	A Kingdom Divided	I just need to do something first.
Q	A Kingdom Divided	I'll be back later.
Q	A Kingdom Divided	I'll get searching.
Q	A Kingdom Divided	I'll have a look around.
N	A Kingdom Divided	I'll leave you to it.
N	A Kingdom Divided	I'm alright, thank you.
Q	A Kingdom Divided	I'm looking for a councillor.
Q	A Kingdom Divided	I'm looking for Sophia Hughes.
Q	A Kingdom Divided	I need some help with Lady Lovakengj.
Q	A Kingdom Divided	I need to do something first.
Q	A Kingdom Divided	I think I know where Councillor Hughes has gone.
Q	A Kingdom Divided	I've found something that might be useful.
Q	A Kingdom Divided	I wanted to ask you something about the leaders.
Q	A Kingdom Divided	If tomorrow never comes, what is today?
Q	A Kingdom Divided	If you say so.
Q	A Kingdom Divided	Let's do this.
Q	A Kingdom Divided	Let's get going.
N	A Kingdom Divided	Let's see what you've got.
N	A Kingdom Divided	Nevermind, bye.
Q	A Kingdom Divided	No.
N	A Kingdom Divided	No, I'm fine.
Q	A Kingdom Divided	Not yet. I'll come back once I have them.
Q	A Kingdom Divided	Nothing.
N	A Kingdom Divided	Okay, let's trade.
Q	A Kingdom Divided	So, about that door over there...
Q	A Kingdom Divided	So about the Councillor.
Q	A Kingdom Divided	So, about the key to that door...
Q	A Kingdom Divided	So you already have some leads?
Q	A Kingdom Divided	Sulphur in a defence potion. Got it. I'll be back soon.
Q	A Kingdom Divided	Tell me about Kourend's Royal Society.
Q	A Kingdom Divided	The Chasm of Fire.
Q	A Kingdom Divided	The Deeper Lode.
Q	A Kingdom Divided	The evening owl doesn't eat much pudding.
Q	A Kingdom Divided	The Farming Guild.
Q	A Kingdom Divided	The Little Shop of Horace.
N	A Kingdom Divided	Uh, I believe I'm still using it.
N	A Kingdom Divided	Well, good luck.
N	A Kingdom Divided	What are these farming patches for?
N	A Kingdom Divided	What do you do here?
Q	A Kingdom Divided	What do you know about Rose?
Q	A Kingdom Divided	What do you know of this mage?
Q	A Kingdom Divided	What do you think of Lady Lovakengj?
Q	A Kingdom Divided	What do you think of Lady Piscarilius?
Q	A Kingdom Divided	What do you think of Lord Arceuus?
Q	A Kingdom Divided	What do you think of Lord Hosidius?
Q	A Kingdom Divided	What do you think of Lord Shayzien?
Q	A Kingdom Divided	What happened with Rose?
Q	A Kingdom Divided	What happens when we find Rose?
N	A Kingdom Divided	What is this place?
Q	A Kingdom Divided	What should I be doing?
Q	A Kingdom Divided	What was the date when Councillor Hughes escaped?
Q	A Kingdom Divided	Where can I get a dark essence block?
Q	A Kingdom Divided	Where can I get volcanic sulphur?
N	A Kingdom Divided	Who are you?
N	A Kingdom Divided	Why are you down here?
Q	A Kingdom Divided	Yes.
N	A Kingdom Divided	You can speak!?
N	A Night at the Theatre	Can I get those teleport crystals you mentioned?
Q	A Night at the Theatre	Can we use this bark to find more memories?
Q	A Night at the Theatre	Did you manage to get any useful memories from Verzik?
Q	A Night at the Theatre	Do you have any more memories for us to look at?
Q	A Night at the Theatre	Got any sulphuric acid?
Q	A Night at the Theatre	Happy to help... I guess.
Q	A Night at the Theatre	I found a hespori.
Q	A Night at the Theatre	I found some of those eggs.
Q	A Night at the Theatre	I'll think about it.
Q	A Night at the Theatre	I managed to recover Ranis' head.
Q	A Night at the Theatre	No.
Q	A Night at the Theatre	Not yet.
N	A Night at the Theatre	Nothing, thanks.
Q	A Night at the Theatre	Okay, thanks.
Q	A Night at the Theatre	Ready to enter the Theatre?
N	A Night at the Theatre	See you later.
Q	A Night at the Theatre	So about that memory...
Q	A Night at the Theatre	So we have the eggs. Now what?
Q	A Night at the Theatre	So what are we doing with Ranis' head?
Q	A Night at the Theatre	Speaking of your associates, what's all this really about?
Q	A Night at the Theatre	That memory didn't tell us too much.
Q	A Night at the Theatre	That memory seemed more useful.
Q	A Night at the Theatre	This Verzik business kind of feels like it's been a waste of time.
